provinsi,tahun,angka_harapan_hidup,pengeluaran_per_kapita,rataan_lama_sekolah,presentase_penduduk_merokok,presentase_penduduk_miskin
ACEH,2023,"70,385",10334000,"9,55","28,66","14,45"
SUMATERA UTARA,2023,"70,03",11049000,"9,82","26,28","8,15"
SUMATERA BARAT,2023,"70,24",11380000,"9,28","30,42","5,95"
RIAU,2023,"72,285",11448000,"9,32","27,76","6,68"
JAMBI,2023,"71,82",11160000,"8,81","28,67","7,58"
SUMATERA SELATAN,2023,"70,71",11472000,"8,5","30,91","11,78"
BENGKULU,2023,"69,965",11172000,"9,03","31,86","14,04"
LAMPUNG,2023,"71,295",10769000,"8,29","34,08","11,11"
KEP. BANGKA BELITUNG,2023,"71,28",13589000,"8,25","27,33","4,52"
KEP. RIAU,2023,"70,965",14998000,"10,41","25,49","5,69"
DKI JAKARTA,2023,"73,745",19373000,"11,45","22,6","4,44"
JAWA BARAT,2023,"74,1",11695000,"8,83","32,78","7,62"
JAWA TENGAH,2023,"74,785",11835000,"8,01","28,55","10,77"
DI YOGYAKARTA,2023,"75,215",14924000,"9,83","24,82","11,04"
JAWA TIMUR,2023,"72,16",12421000,"8,11","28,83","10,35"
BANTEN,2023,"70,82",12601000,"9,15","29,34","6,17"
BALI,2023,"73,03",14382000,"9,45","18,9","4,25"
NUSA TENGGARA BARAT,2023,"67,52",11095000,"7,74","32,79","13,85"
NUSA TENGGARA TIMUR,2023,"67,81",8248000,"7,82","26,64","19,96"
KALIMANTAN BARAT,2023,"71,365",9810000,"7,71","26,96","6,71"
KALIMANTAN TENGAH,2023,"70,325",11878000,"8,73","27,24","5,11"
KALIMANTAN SELATAN,2023,"69,47",12953000,"8,55","22,24","4,29"
KALIMANTAN TIMUR,2023,"74,79",13202000,"9,99","22,97","6,11"
KALIMANTAN UTARA,2023,"72,735",9734000,"9,34","25,36","6,45"
SULAWESI UTARA,2023,"72,45",11497000,"9,77","26,96","7,38"
SULAWESI TENGAH,2023,"69,22",10149000,"8,96","28,28","12,41"
SULAWESI SELATAN,2023,"71,26",11841000,"8,76","24,24","8,7"
SULAWESI TENGGARA,2023,"71,525",10117000,"9,31","24,66","11,43"
GORONTALO,2023,"68,885",11069000,"8,1","30,69","15,15"
SULAWESI BARAT,2023,"66,055",9718000,"8,13","25,3","11,49"
MALUKU,2023,"66,835",9278000,"10,2","28,04","16,42"
MALUKU UTARA,2023,"69,155",8834000,"9,26","28,82","6,46"
PAPUA BARAT,2023,"66,845",8404000,"7,93","25,3","20,49"
PAPUA,2023,"66,49",7562000,"7,15","22,3","26,03"